source,destination,destination_type,age_src,age_dest,n
A,A,local,young,young,0
A,A,local,old,old,0
A,school,contextual,young,young,25
A,school,contextual,old,old,0
B,B,local,young,young,0
B,B,local,old,old,0
B,school,contextual,young,young,50
B,school,contextual,old,old,0
C,C,local,young,young,0
C,C,local,old,old,0
C,school,contextual,young,young,25
C,school,contextual,old,old,0
A,B,local,young,young,0
A,B,local,old,old,0
B,A,local,young,young,0
B,A,local,old,old,0
A,C,local,young,young,0
A,C,local,old,old,0
C,B,local,young,young,0
C,B,local,old,old,0
C,A,local,young,young,0
C,A,local,old,old,0
D,school,contextual,young,young,25
E,school,contextual,young,young,25
F,school,contextual,young,young,25
G,school,contextual,young,young,25
H,school,contextual,young,young,25
I,school,contextual,young,young,25
J,school,contextual,young,young,25
K,school,contextual,young,young,25
L,school,contextual,young,young,25
M,school,contextual,young,young,25
N,school,contextual,young,young,25
O,school,contextual,young,young,25
P,school,contextual,young,young,25
D,school,contextual,old,old,0
E,school,contextual,old,old,0
F,school,contextual,old,old,0
G,school,contextual,old,old,0
H,school,contextual,old,old,0
I,school,contextual,old,old,0
J,school,contextual,old,old,0
K,school,contextual,old,old,0
L,school,contextual,old,old,0
M,school,contextual,old,old,0
N,school,contextual,old,old,0
O,school,contextual,old,old,0
P,school,contextual,old,old,0
